Pitcher,PitcherTeam,PitcherThrows,AutoPitchType,pitch_count,avg_xRV,xRV+,SwStr%
"Mack, Landon",RUT_SCA,Right,Slider,163,0.03759492622635385,102.69376630702668,21.47
"Marsh, Carson",CIN_BEA,Right,Changeup,5,0.3961717454576364,92.50449459901512,20.0
"Marsh, Carson",CIN_BEA,Right,Curveball,7,0.1454852369686615,103.46488994094814,28.57
"Marsh, Carson",CIN_BEA,Right,Four-Seam,290,0.09631813640557102,103.14489950729096,4.14
"Marsh, Carson",CIN_BEA,Right,Sinker,21,0.10509915811610547,102.85538723476748,4.76
"Marsh, Carson",CIN_BEA,Right,Slider,258,0.08902137072193783,100.56199812625755,20.54
"Morgan, Chase",LOU_CAJ,Left,Changeup,160,0.29745843020642837,96.27441567989352,21.88
"Morgan, Chase",LOU_CAJ,Left,Curveball,154,0.34502394309526796,96.9231758108568,15.58
"Morgan, Chase",LOU_CAJ,Left,Cutter,30,0.5203475784057244,87.4869841040883,10.0
"Morgan, Chase",LOU_CAJ,Left,Four-Seam,247,0.36166809586037224,93.70614361433041,7.29
"Morgan, Chase",LOU_CAJ,Left,Sinker,78,0.3492591271998807,92.72849636767363,5.13
"Morgan, Chase",LOU_CAJ,Left,Slider,50,0.10735896898408226,99.8018540239305,24.0
"Nance, Anderson",NOR_WOL,Right,Changeup,93,0.09617402872433146,103.96158844344899,31.18
"Nance, Anderson",NOR_WOL,Right,Curveball,157,0.21540958571700491,101.1724770596386,9.55
"Nance, Anderson",NOR_WOL,Right,Four-Seam,395,0.06218632513798984,104.35900119926492,6.84
"Nance, Anderson",NOR_WOL,Right,Sinker,64,0.2743602492252425,95.83503658457826,9.38
"Nance, Anderson",NOR_WOL,Right,Slider,56,0.0964289260809176,100.25493449457063,14.29
"New, Cody",CAL_LAN,Left,Changeup,140,0.14691419977447062,102.02379069040518,17.86
"New, Cody",CAL_LAN,Left,Curveball,219,0.08217237364282307,105.54055065197021,12.79
"New, Cody",CAL_LAN,Left,Cutter,4,0.007313587041329672,106.18796101593365,0.0
"New, Cody",CAL_LAN,Left,Four-Seam,384,0.03982515012183874,105.15440992248794,10.68
"New, Cody",CAL_LAN,Left,Sinker,90,0.20454063931584918,98.73090674949005,4.44
"New, Cody",CAL_LAN,Left,Slider,136,0.01586047392953337,103.59471939229752,20.59
"Nobe, Jack",XAV_MUS,Right,Changeup,145,0.049078797573273034,105.7601837421014,7.59
"Nobe, Jack",XAV_MUS,Right,Curveball,9,-0.04744464584360655,109.78993917580227,11.11
"Nobe, Jack",XAV_MUS,Right,Cutter,4,0.782992552802726,77.91312021809505,0.0
"Nobe, Jack",XAV_MUS,Right,Four-Seam,458,0.0616433919595185,104.37831385998028,9.61
"Nobe, Jack",XAV_MUS,Right,Sinker,4,-0.06901645324226785,110.0770861934472,0.0
"Nobe, Jack",XAV_MUS,Right,Slider,52,-0.03982115158693649,105.90287658056485,3.85
"Norby, Ethan",ECU_PIR,Left,Changeup,119,0.056334360513875935,105.4830894148183,15.97
"Norby, Ethan",ECU_PIR,Left,Curveball,106,0.7229460698908028,84.5333063718725,12.26
"Norby, Ethan",ECU_PIR,Left,Cutter,18,0.28957281182897154,95.89912375610409,5.56
"Norby, Ethan",ECU_PIR,Left,Four-Seam,320,0.11155588509218595,102.6028779802979,17.19
"Norby, Ethan",ECU_PIR,Left,Sinker,255,0.038341522000205464,105.62425757017827,10.2
"Norby, Ethan",ECU_PIR,Left,Slider,326,0.870592099736975,68.16373245813685,16.87
"Pitzer, Tyler",SOU_GAM,Right,Curveball,133,0.3811624180425295,95.73840531298431,8.27
"Pitzer, Tyler",SOU_GAM,Right,Cutter,29,0.03154843244105608,105.30455895698407,3.45
"Pitzer, Tyler",SOU_GAM,Right,Four-Seam,242,0.5180527415053897,88.14338981296085,10.33
"Pitzer, Tyler",SOU_GAM,Right,Slider,138,0.6083679762004672,79.0336467263341,15.22
"Pitzer, Tyler",SOU_GAM,Right,Splitter,1,-0.0906690521567018,107.65717700099064,0.0
"Renfroe, Ryan",KEN_OWL,Right,Changeup,1,0.2070062204423038,99.7288401568147,0.0
"Renfroe, Ryan",KEN_OWL,Right,Cutter,32,0.08697611377654206,103.28412404159889,12.5
"Renfroe, Ryan",KEN_OWL,Right,Four-Seam,202,0.17781304985446847,100.24604624896547,11.39
"Renfroe, Ryan",KEN_OWL,Right,Sinker,7,0.12284335651241993,102.1194207233125,14.29
"Renfroe, Ryan",KEN_OWL,Right,Slider,256,0.01867697756354812,103.47796753657612,18.36
"Rhudy, Bo",KEN_OWL,Right,Changeup,1,0.6963206955911119,81.04162505976252,0.0
"Rhudy, Bo",KEN_OWL,Right,Curveball,8,0.21863635451303615,101.06669007005,12.5
"Rhudy, Bo",KEN_OWL,Right,Cutter,88,0.18922201961753682,99.55708381298167,12.5
"Rhudy, Bo",KEN_OWL,Right,Four-Seam,287,0.40974607590497414,91.99596314774955,13.94
"Rhudy, Bo",KEN_OWL,Right,Slider,23,0.1235946931729945,99.12883840799309,8.7
"Schaefer, Derek",ARI_SUN,Right,Changeup,34,0.08408326978170103,104.42334182398986,23.53
"Schaefer, Derek",ARI_SUN,Right,Curveball,22,0.1612155564453716,102.94918421553187,4.55
"Schaefer, Derek",ARI_SUN,Right,Cutter,7,0.09702729113519966,102.9177412309371,14.29
"Schaefer, Derek",ARI_SUN,Right,Four-Seam,172,0.1271664763198443,102.04759408183642,8.14
"Schaefer, Derek",ARI_SUN,Right,Sinker,14,0.11655181696509158,102.3803715033314,7.14
"Schaefer, Derek",ARI_SUN,Right,Slider,178,0.04950335971865271,102.20012884383654,19.66
"Schaefer, Derek",ARI_SUN,Right,Splitter,9,-0.062062281021317625,106.49639579339335,22.22
"Tabor, Jacob",TOL_ROC,Left,Changeup,101,0.11034157019509477,103.42052148486363,5.94
"Tabor, Jacob",TOL_ROC,Left,Curveball,42,0.13461596886597307,103.82123005215438,11.9
"Tabor, Jacob",TOL_ROC,Left,Four-Seam,10,0.04949238097755072,104.81053712749886,10.0
"Tabor, Jacob",TOL_ROC,Left,Sinker,305,0.24263202030603043,97.15101116008611,7.54
"Tabor, Jacob",TOL_ROC,Left,Slider,217,0.1374738677790484,98.5535082818152,15.67
"Watkins, Hunter",OKL_COW,Right,Changeup,16,0.159884617793716,101.52844259887242,25.0
"Watkins, Hunter",OKL_COW,Right,Curveball,51,0.2136874460485468,101.22893600748802,17.65
"Watkins, Hunter",OKL_COW,Right,Cutter,30,0.2838122430995274,96.10910645631843,6.67
"Watkins, Hunter",OKL_COW,Right,Four-Seam,213,0.5828406273140692,85.83882176167651,9.39
"Watkins, Hunter",OKL_COW,Right,Sinker,69,0.22218879665254543,97.99892368107517,5.8
"Watkins, Hunter",OKL_COW,Right,Slider,416,0.05454709392241278,101.99105212866996,16.35
