playerFullName,PitchType,Throws,Team,CLASS+,Count,SwStr%,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,SwStr
"Alekson, Ben",4S,Right,FAI_STA,95.58661323387706,201.0,8.45771144278607,89.07980268656716,19.883810348258706,13.975543631840795,2053.6202715373133,5.553571542288558,5.871895522388059,1.021085671641791,13.975543631840795,1.021085671641791,89.07980268656716,19.883810348258702,13.975543631840797,9.091677107129391e-16,5.70024955926946e-16,1.2195882777971869e-15,-0.0004203681976691522,0.0028173875412249,0.0073362157238225,0.0845771144278607
"Alekson, Ben",CH,Right,FAI_STA,105.21524604676544,55.0,7.2727272727272725,80.31352290909092,9.829013818181819,15.200059090909091,1591.1827973454544,5.420255272727273,5.871674909090909,1.0738505454545455,15.200059090909091,1.0738505454545455,89.07980268656716,19.883810348258702,13.975543631840795,-8.766279777476253,-10.054796530076889,1.2245154590682963,0.010653315559494274,0.005730213940822901,0.0094398261837037,0.07272727272727272
"Alekson, Ben",SI,Right,FAI_STA,108.27217195517792,1.0,0.0,91.21685,21.01379,16.34099,2190.979863,5.94884,5.78854,1.18095,16.34099,1.18095,89.07980268656716,19.883810348258702,13.975543631840797,2.1370473134328307,1.1299796517412943,2.3654463681592066,0.0057523077999762,-0.0002688599585534,0.0072788232536206,0.0
"Alekson, Ben",SL,Right,FAI_STA,103.44865021701871,46.0,13.043478260869565,80.27239391304347,5.932655,3.1784408695652173,1931.5529856304347,5.214536086956522,5.873959130434782,1.0491847826086957,3.1784408695652173,1.0491847826086957,89.07980268656718,19.883810348258702,13.975543631840797,-8.807408773523685,-13.951155348258705,-10.797102762275578,0.010128565946746446,0.007413182025219,0.0078737585740861,0.13043478260869565
"Brown, Blaine",4S,Left,RIC_OWL,106.35577237001131,108.0,10.185185185185185,94.46643898148149,20.087603518518517,-10.159098518518519,2391.3037782407405,6.556336944444444,6.273119444444444,-0.8574602777777778,10.159098518518519,0.8574602777777778,94.46643898148147,20.08760351851852,10.15909851851852,-6.97384536949728e-15,1.8750433304780422e-15,-4.934324553889585e-16,0.007480119261016299,0.0028173875412249,0.007336215723822501,0.10185185185185185
"Brown, Blaine",CH,Left,RIC_OWL,111.82820691850382,14.0,28.57142857142857,88.86977357142857,14.98410142857143,-16.469426428571428,2248.9206222142857,6.268915,6.112399285714285,-1.0282842857142858,16.469426428571428,1.0282842857142858,94.46643898148147,20.087603518518524,10.15909851851852,-5.596665410052917,-5.103502089947088,6.31032791005291,0.01689583567837869,0.005730213940822899,0.0094398261837037,0.2857142857142857
"Brown, Blaine",SL,Left,RIC_OWL,101.94587301682725,14.0,0.0,84.47946142857143,3.113885,2.2472285714285714,2440.1747767142856,6.311792142857143,6.094440714285715,-1.2763471428571427,-2.2472285714285714,1.2763471428571427,94.46643898148147,20.087603518518524,10.15909851851852,-9.98697755291006,-16.973718518518517,-12.406327089947093,0.0089453154602516,0.007413182025219,0.0078737585740861,0.0
"Davis, Chase",4S,Left,GRY_COL,80.12606500791904,14.0,0.0,86.08269142857144,12.806840714285714,-6.109392857142857,2043.4157740714286,6.622535,6.1932478571428575,-1.4114921428571428,6.109392857142857,1.4114921428571428,89.67275736842105,17.30858045112782,9.796844887218043,-3.5900659398496293,-4.501739736842106,-3.6874520300751876,-0.011762559897088057,0.0028173875412249,0.0073362157238225,0.0
"Davis, Chase",4S,Left,SAL_JAG,96.94926238063437,277.0,7.2202166064981945,89.95753072202166,17.527396859205776,-9.69267559566787,2218.714164371841,6.0843841155234655,6.271660216606499,-2.035698664259928,9.69267559566787,2.035698664259928,89.77608334600039,17.299872107163214,9.50630617898537,0.18144737602127914,0.2275247520425621,0.18636941668250054,0.0005793006119802758,0.0028173875412249,0.0073362157238225,0.07220216606498195
"Davis, Chase",CH,Left,GRY_COL,90.2422554638238,14.0,28.57142857142857,81.27299857142857,4.7190971428571435,-8.89492,1593.3276295,6.349255714285714,6.007602142857143,-1.6040521428571428,8.89492,1.6040521428571428,89.67275736842105,17.30858045112782,9.796844887218043,-8.399758796992488,-12.589483308270676,-0.9019248872180448,-0.0034809272958258503,0.005730213940822899,0.0094398261837037,0.2857142857142857
"Davis, Chase",CH,Left,SAL_JAG,106.21110025150305,22.0,9.090909090909092,79.96707590909091,6.504759090909091,-0.7863077272727274,2057.526048454545,5.557658636363636,5.954276818181818,-2.4029836363636363,0.7863077272727274,2.4029836363636363,89.77979903851977,17.299558947498205,9.495858152941329,-9.812723129428868,-10.794799856589112,-8.709550425668603,0.011593384619197622,0.0057302139408229,0.0094398261837037,0.09090909090909091
"Davis, Chase",CU,Left,SAL_JAG,93.62016242420896,14.0,0.0,77.70014428571429,-4.658711428571428,12.62032714285714,2454.143344,5.481184285714286,6.308071428571429,-2.1277271428571427,-12.62032714285714,2.1277271428571427,89.76333108927382,17.30094687113353,9.542163804368515,-12.063186803559534,-21.95965829970496,-22.162490947225656,-0.0009391328826839214,0.0038883046970988994,0.0075667092185874,0.0
"Davis, Chase",SL,Left,GRY_COL,106.52744476656298,10.0,0.0,74.790837,-2.224667,12.036057000000001,2176.1863492,5.977847,5.973625,-1.7119320000000002,-12.036057000000001,1.7119320000000002,89.67275736842106,17.30858045112782,9.796844887218043,-14.88192036842106,-19.53324745112782,-21.832901887218046,0.012552734444978831,0.007413182025219,0.0078737585740861,0.0
