Date,playerId,playerFullName,Throws,Team,PitchType,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,primary_fastball,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,PitchCall,group_mean,group_std,CLASS+
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,90.2423,15.39324,15.50918,2085.697287,4.84886,5.81387,0.97786,15.50918,0.97786,4S,89.07980268656716,19.883810348258706,13.975543631840795,1.1624973134328371,-4.490570348258705,1.5336363681592058,-0.01773582494549899,BallCalled,0.0028173875412249826,0.007336215723822519,71.98390388114873
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,88.47159,14.50001,12.08166,2001.454003,4.81966,5.76727,0.89682,12.08166,0.89682,4S,89.07980268656716,19.883810348258706,13.975543631840795,-0.6082126865671569,-5.383800348258706,-1.8938836318407954,-0.018236233328862424,BallCalled,0.0028173875412249826,0.007336215723822519,71.30179691728387
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,88.63645,12.25619,14.16745,1990.240719,4.86857,5.69452,0.91186,14.16745,0.91186,4S,89.07980268656716,19.883810348258706,13.975543631840795,-0.44335268656716664,-7.627620348258706,0.1919063681592057,-0.01687683674917003,StrikeCalled,0.0028173875412249826,0.007336215723822519,73.15479120053277
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,88.99834,15.60339,13.10457,1878.269963,4.92383,5.88722,0.79747,13.10457,0.79747,4S,89.07980268656716,19.883810348258706,13.975543631840795,-0.08146268656716416,-4.280420348258707,-0.8709736318407941,-0.020196362399768637,BallCalled,0.0028173875412249826,0.007336215723822519,68.62994381931512
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,CH,80.66123,8.45308,14.38914,1405.593941,4.7297,5.86788,0.82124,14.38914,0.82124,4S,89.07980268656716,19.883810348258706,13.975543631840795,-8.41857268656716,-11.430730348258706,0.41359636815920453,0.01342328392199424,StrikeCalled,0.005730213940822945,0.009439826183703717,108.14958859565878
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,CH,81.61058,3.08973,18.69379,1448.922685,4.884,5.75564,0.86375,18.69379,0.86375,4S,89.07980268656716,19.883810348258706,13.975543631840795,-7.469222686567164,-16.794080348258706,4.718246368159205,0.008397523188770743,FoulBallNotFieldable,0.005730213940822945,0.009439826183703717,102.82559148446235
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,CH,81.96328,14.39328,20.32064,1690.405974,4.77065,5.82289,0.88,20.32064,0.88,4S,89.07980268656716,19.883810348258706,13.975543631840795,-7.116522686567166,-5.490530348258705,6.345096368159206,0.022818471189140422,BallCalled,0.005730213940822945,0.009439826183703717,118.10230073708084
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,CH,78.85951,2.95894,2.57689,1948.588863,4.62799,5.88944,0.96196,2.57689,0.96196,4S,89.07980268656716,19.883810348258706,13.975543631840795,-10.220292686567163,-16.924870348258708,-11.398653631840794,0.014338907945556228,StrikeCalled,0.005730213940822945,0.009439826183703717,109.11954715818258
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,89.63345,17.3506,15.22662,2112.186906,4.74776,5.80988,0.91374,15.22662,0.91374,4S,89.07980268656716,19.883810348258706,13.975543631840795,0.5536473134328332,-2.533210348258706,1.2510763681592056,-0.006617113700680415,StrikeCalled,0.0028173875412249826,0.007336215723822519,87.13982576702423
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,89.66799,19.57804,14.22469,2071.39342,4.9484,5.72034,0.85983,14.22469,0.85983,4S,89.07980268656716,19.883810348258706,13.975543631840795,0.5881873134328401,-0.3057703482587044,0.24914636815920588,-0.004559657237606948,BallCalled,0.0028173875412249826,0.007336215723822519,89.94434589092462
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,SL,81.77074,2.42311,0.04925,2022.29482,4.77957,5.70803,1.04279,0.04925,1.04279,4S,89.07980268656716,19.883810348258706,13.975543631840795,-7.3090626865671595,-17.460700348258705,-13.926293631840794,0.008901341837868235,BallCalled,0.0074131820252190065,0.007873758574086115,101.89002469233311
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,SL,79.51669,2.64477,0.27681,2024.304664,4.72549,5.83659,1.20866,0.27681,1.20866,4S,89.07980268656716,19.883810348258706,13.975543631840795,-9.563112686567166,-17.239040348258705,-13.698733631840796,0.013696870309202061,BallCalled,0.0074131820252190065,0.007873758574086115,107.98054477395807
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,90.67917,16.52434,15.91343,2123.122439,4.66688,5.74037,0.92624,15.91343,0.92624,4S,89.07980268656716,19.883810348258706,13.975543631840795,1.5993673134328361,-3.359470348258707,1.9378863681592051,-0.009517899749143894,FoulBallNotFieldable,0.0028173875412249826,0.007336215723822519,83.18576258558875
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,89.40022,16.22052,16.52643,2118.237948,4.88297,5.76995,0.87534,16.52643,0.87534,4S,89.07980268656716,19.883810348258706,13.975543631840795,0.3204173134328414,-3.6632903482587054,2.5508863681592064,-0.01454884542641572,InPlay,0.0028173875412249826,0.007336215723822519,76.32807755196154
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,91.56325,17.72009,16.75099,2170.92327,4.51354,5.67798,0.9547,16.75099,0.9547,4S,89.07980268656716,19.883810348258706,13.975543631840795,2.4834473134328334,-2.163720348258707,2.7754463681592068,0.008998970994172371,StrikeCalled,0.0028173875412249826,0.007336215723822519,108.42612006742692
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,90.57985,19.62556,15.5521,2098.52871,4.45867,5.64377,1.01833,15.5521,1.01833,4S,89.07980268656716,19.883810348258706,13.975543631840795,1.5000473134328303,-0.25825034825870574,1.5765563681592045,-0.0025052361314613215,FoulBallNotFieldable,0.0028173875412249826,0.007336215723822519,92.74472851799815
2025-02-14,10138563.0,"Alekson, Ben",Right,FAI_STA,4S,93.54444,20.36714,17.01225,2256.360446,4.81464,5.76861,0.99993,17.01225,0.99993,4S,89.07980268656716,19.883810348258706,13.975543631840795,4.464637313432831,0.4833296517412933,3.036706368159207,0.011947535282708676,StrikeSwinging,0.0028173875412249826,0.007336215723822519,112.44530979621527
